year,exporter_code,importer_code,product_code,import_value_kusd,quantity_tons,product_description,exporter_name,exporter_iso3,importer_name,importer_iso3
2010,40,156,848620,60211.739,88.741,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Austria,AUT,China,CHN
2010,56,156,848620,245.0,1.045,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Belgium,BEL,China,CHN
2010,112,156,848620,915.0,0.3,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Belarus,BLR,China,CHN
2010,124,156,848620,77.618,,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Canada,CAN,China,CHN
2010,203,156,848620,83.539,8.141,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Czechia,CZE,China,CHN
2010,208,156,848620,41.998,0.538,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Denmark,DNK,China,CHN
2010,246,156,848620,2388.718,5.033,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Finland,FIN,China,CHN
2010,251,156,848620,12176.124,55.734,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,France,FRA,China,CHN
2010,276,156,848620,829258.013,3232.229,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Germany,DEU,China,CHN
2010,344,156,848620,61219.403,352.5,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,"China, Hong Kong SAR",HKG,China,CHN
2010,348,156,848620,2422.715,3.3,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Hungary,HUN,China,CHN
2010,372,156,848620,728.206,13.464,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Ireland,IRL,China,CHN
2010,376,156,848620,1451.399,3.6,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Israel,ISR,China,CHN
2010,380,156,848620,376197.268,1890.852,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Italy,ITA,China,CHN
2010,392,156,848620,800779.852,3322.841,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Japan,JPN,China,CHN
2010,410,156,848620,269468.493,1389.551,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Rep. of Korea,KOR,China,CHN
2010,458,156,848620,2593.564,27.813,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Malaysia,MYS,China,CHN
2010,490,156,848620,102197.697,457.4,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,"Other Asia, nes",S19,China,CHN
2010,528,156,848620,391015.982,144.923,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Netherlands,NLD,China,CHN
2010,608,156,848620,0.501,0.6,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Philippines,PHL,China,CHN
2010,702,156,848620,47236.807,43.8,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Singapore,SGP,China,CHN
2010,704,156,848620,505.703,1.5,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Viet Nam,VNM,China,CHN
2010,705,156,848620,360.196,0.9,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Slovenia,SVN,China,CHN
2010,724,156,848620,1341.906,14.765,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Spain,ESP,China,CHN
2010,752,156,848620,485.459,0.942,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Sweden,SWE,China,CHN
2010,757,156,848620,22405.667,144.765,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Switzerland,CHE,China,CHN
2010,764,156,848620,99.054,0.6,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,Thailand,THA,China,CHN
