product_code,product_name,year,total_import_value_kusd,concentration_raw,policy_exposure_raw,alternative_insufficiency_raw,structural_volatility_raw,siri_score,siri_score_policy_weighted
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2013,32501909.283,0.29251991544052947,0.07274907613617439,0.33406536359235434,0.09934867894943866,28.726897615617887,27.22807225089135
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2014,35333248.472,0.26842899479311255,0.06526746635898731,0.30234819881168956,0.08924647334811743,24.593579683348327,23.476260758572252
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2015,31998719.591,0.3032574367730739,0.07011352256204094,0.34502760959463374,0.09365919735310795,29.309141742297335,27.537051633808414
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2016,33340445.033,0.34368013590314833,0.035597956710693796,0.3681577111087952,0.06626972180764484,28.330451540837174,24.700417008314467
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2017,34969597.621,0.3497059517121937,0.02815634977191492,0.3694235367030685,0.022585902362115967,25.381777264079858,21.898700616587586
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2018,33403908.560999997,0.4234772735394964,0.03272039177702982,0.45146769718562146,0.09786793024691318,38.69229446521975,32.818675709355375
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2019,32843112.325,0.49982844121823317,0.038465156697051854,0.5390181975758065,0.08724181138665238,47.05821808924181,39.85322916924791
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2020,42603803.561,0.5294063180223968,0.03645014050861777,0.5687867197004332,0.033850527232799354,46.632794114585806,39.3929961587413
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2021,61171813.935,0.43139253611022516,0.031078272503412892,0.4584814729283406,0.12518738358499015,41.08963698140749,34.63884332597751
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2022,65289877.609,0.43795829909266415,0.03067031774806034,0.4651102760773298,0.05942346192308498,37.57364927975038,31.801779782291124
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2023,55231807.459,0.47057673957882323,0.034920896377178254,0.5039387163165596,0.055966502158685594,41.425708798900224,35.1363376014145
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2024,58188708.025,0.47160555039224,0.03940265898350817,0.5094059939583065,0.014469211554366056,39.4657794262074,33.83505979587939
