year,exporter_code,importer_code,product_code,import_value_kusd,quantity_tons,product_description,product_group,exporter_name,exporter_iso3,importer_name,importer_iso3
2011,376,156,848610,2766.056,12.585,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Israel,ISR,China,CHN
2011,380,156,848610,32644.875,148.522,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Italy,ITA,China,CHN
2011,392,156,848610,1170020.695,5504.299,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Japan,JPN,China,CHN
2011,410,156,848610,92393.109,1000.958,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Rep. of Korea,KOR,China,CHN
2011,458,156,848610,3422.995,20.156,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Malaysia,MYS,China,CHN
2011,490,156,848610,33567.612,189.002,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,"Other Asia, nes",S19,China,CHN
2011,498,156,848610,16.199,0.074,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Rep. of Moldova,MDA,China,CHN
2011,528,156,848610,5535.637,26.193,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Netherlands,NLD,China,CHN
2011,643,156,848610,18274.911,83.144,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Russian Federation,RUS,China,CHN
2011,702,156,848610,33964.077,297.874,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Singapore,SGP,China,CHN
2011,757,156,848610,1238225.11,5347.522,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Switzerland,CHE,China,CHN
2011,764,156,848610,115.983,0.599,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Thailand,THA,China,CHN
2011,804,156,848610,5398.381,77.196,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Ukraine,UKR,China,CHN
2011,826,156,848610,3499.153,11.675,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,United Kingdom,GBR,China,CHN
2011,842,156,848610,211886.706,1909.845,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,USA,USA,China,CHN
2012,40,156,848610,13344.826,,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Austria,AUT,China,CHN
2012,208,156,848610,2986.133,20.705,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Denmark,DNK,China,CHN
2012,246,156,848610,1.419,,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Finland,FIN,China,CHN
2012,251,156,848610,136.386,,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,France,FRA,China,CHN
2012,276,156,848610,57407.447,359.894,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Germany,DEU,China,CHN
2012,344,156,848610,2243.121,,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,"China, Hong Kong SAR",HKG,China,CHN
