product_code,exporter_code,year,exporter_name,exporter_iso3,product_description,product_group,import_value_kusd,quantity_tons,importer_code,importer_name,importer_iso3,US,Post2018,Post2022,Post2023,US_Post2018,US_Post2022,US_Post2023,Period_2018_2021,Period_2022,Period_2023_2024,US_Period_2018_2021,US_Period_2022,US_Period_2023_2024,ln_import_value,asinh_import_value,product_year_total_kusd,import_share,post2018_label
848620,40,2022,Austria,AUT,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,416381.798,846.397,156,China,CHN,0,1,1,0,0,0,0,0,1,0,0,0,0,12.939360303630425,13.632505082552731,18350460.652,0.022690536542722645,2018+
848620,40,2023,Austria,AUT,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,573762.073,1029.58,156,China,CHN,0,1,1,1,0,0,0,0,0,1,0,0,0,13.259971825282499,13.953117262962007,26567329.043,0.021596528279954272,2018+
848620,40,2024,Austria,AUT,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,805763.936,1436.608,156,China,CHN,0,1,1,1,0,0,0,0,0,1,0,0,0,13.599547336272868,14.292693275775694,33096810.847,0.02434566701078503,2018+
848620,276,2008,Germany,DEU,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,274547.953,1376.826,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,12.522884859186727,13.216028397405662,2330789.952,0.1177918039179877,pre-2018
848620,276,2009,Germany,DEU,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,331996.601,2053.731,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,12.712883021968905,13.406027190456623,1718548.232,0.19318433711553812,pre-2018
848620,276,2010,Germany,DEU,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,829258.013,3232.229,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,13.628287825607634,14.32143380027137,4230023.173,0.19604100948976053,pre-2018
848620,276,2011,Germany,DEU,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,1521180.878,4509.446,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,14.234998142001832,14.928144665178081,6334163.036,0.24015499275191057,pre-2018
848620,276,2012,Germany,DEU,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,267714.632,1791.185,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,12.497680621527914,13.19082406677765,2468393.926,0.1084570129508575,pre-2018
848620,276,2013,Germany,DEU,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,138314.462,1004.364,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,11.837292311837487,12.530432262534674,2997606.8660000004,0.04614162836655312,pre-2018
848620,276,2014,Germany,DEU,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,148247.422,1186.786,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,11.906644672621198,12.599785107735405,4141476.0659999996,0.035795793489441355,pre-2018
